Kim Jong-Un	Make statement	North Korea
Media Personnel (Afghanistan)	Make statement	Media (Afghanistan)
Islamic Preacher (Afghanistan)	Make an appeal or request	Citizen (Afghanistan)
United Nations	Make statement	Military (Myanmar)
Police (Philippines)	Use conventional military force	Citizen (Philippines)
Philippine National Police	Make an appeal or request	Police (Philippines)
Philippine National Police	Rally opposition against	Military Personnel (Philippines)
Jose Maria Sison	Demand	Rodrigo Duterte
Police (Australia)	Arrest, detain, or charge with legal action	Citizen (Australia)
Paul Keating	Criticize or denounce	Malcolm Bligh Turnbull
Paul Keating	Criticize or denounce	Head of Government (Australia)
Police (India)	Arrest, detain, or charge with legal action	Women (India)
Xi Jinping	Engage in symbolic act	Citizen (China)
Governor (Afghanistan)	Make an appeal or request	Administrative Body (Afghanistan)
Governor (Afghanistan)	Praise or endorse	Administrative Body (Afghanistan)
Australia	Expel or deport individuals	Men (Australia)
Lawmaker (Russia)	Consider policy option	Russia
Kem Sokha	Appeal for change in leadership	Southeast Asia
Kem Sokha	Make statement	Cambodia
Taliban	Use conventional military force	Military (Afghanistan)
Xi Jinping	Express intent to engage in diplomatic cooperation (such as policy support)	Alain Berset
Nawaz Sharif	Make statement	Pakistan Muslim League (N)
Nawaz Sharif	Make statement	Government (Pakistan)
Nawaz Sharif	Make statement	Pakistan
Governor (Afghanistan)	Make an appeal or request	Citizen (Afghanistan)
Governor (Afghanistan)	Make statement	Scholar (Afghanistan)
Protester (India)	Protest violently, riot	Military Personnel - Special (India)
Military Personnel - Special (India)	Use tactics of violent repression	Protester (India)
Citizen (India)	Express intent to meet or negotiate	Ministry of Tourism (India)
Ministry of Tourism (India)	Express intent to meet or negotiate	Citizen (India)
Bharatiya Janata	Make statement	Lawmaker (India)
Police (Thailand)	Arrest, detain, or charge with legal action	Citizen (Thailand)
Citizen (South Korea)	Appeal for policy change	Government (South Korea)
China	Engage in diplomatic cooperation	South Africa
South Africa	Engage in diplomatic cooperation	China
Xi Jinping	Express intent to engage in diplomatic cooperation (such as policy support)	Jacob Gedleyihlekisa Zuma
Vladimir Putin	Make an appeal or request	Police (Russia)
Hassan Rouhani	Appeal for de-escalation of military engagement	Protester (Iran)
Protester (Iran)	Demonstrate or rally	Unspecified Actor
Main Opposition (Canada)	Accuse	Liberals (Canada)
Democratic Progressive Party	Demonstrate military or police power	Taiwan
Taliban	Demand	Citizen (International)
Iran	Accuse	United Kingdom
Iran	Accuse	Israel
Iran	Accuse	United States
South Korea	Praise or endorse	Kim Jong-Un
Kim Jong-Un	Threaten	United States
North Korea	Use conventional military force	Citizen (United States)
Election Commission (India)	Make an appeal or request	Government (India)
Election Commission (India)	Make an appeal or request	Border Security Force
Pakistan	Share intelligence or information	High Commission (India)
Police (India)	Arrest, detain, or charge with legal action	Citizen (India)
Foreign Affairs (Iran)	Criticize or denounce	Canada
Iran	Consider policy option	Government (Canada)
Military Personnel - Special (Afghanistan)	Use conventional military force	Afghanistan
Military Personnel - Special (Afghanistan)	Expel or withdraw	Afghanistan
Iran	Sign formal agreement	Serbia
Serbia	Sign formal agreement	Iran
Citizen (Iran)	Criticize or denounce	United States
United States	Make statement	Iran
Kim Jong-Un	Express intent to settle dispute	South Korea
Donald Trump	Make statement	North Korea
Czech Republic	Engage in diplomatic cooperation	Russia
Russia	Engage in diplomatic cooperation	Czech Republic
Jacob Gedleyihlekisa Zuma	Appeal for diplomatic cooperation (such as policy support)	Citizen (Africa)
Combatant (Somalia)	Use unconventional violence	Military (Somalia)
Military (Somalia)	Use conventional military force	Al-Shabaab
Military Personnel (Somalia)	Make statement	Military (Somalia)
Peace, Unity, and Development Party	Use conventional military force	Military (Somalia)
Police (United Kingdom)	Investigate	Criminal (United Kingdom)
Citizen (United States)	Ease administrative sanctions	Citizen (Peru)
António Manuel de Oliveira Guterres	Make an appeal or request	Joseph Kabila
Joshua Wong	Demonstrate or rally	Unspecified Actor
African National Congress	Make statement	Jacob Gedleyihlekisa Zuma
Healthcare Facility (Kenya)	Host a visit	Joseph James Mungai
Joseph James Mungai	Make a visit	Healthcare Facility (Kenya)
Taliban	Use conventional military force	Citizen (Afghanistan)
Israeli Defense Forces	Use conventional military force	Palestinian Territory, Occupied
Palestinian Territory, Occupied	Use conventional military force	Israeli Defense Forces
North Korea	Threaten	United States
Protester (Iran)	Protest violently, riot	Iran
Protester (Iran)	Protest violently, riot	Bank (Iran)
Citizen (Iran)	Demonstrate or rally	Unspecified Actor
Attacker (India)	Kill by physical assault	Citizen (India)
Government (North Korea)	Impose administrative sanctions	North Korea
Hassan Rouhani	Praise or endorse	Citizen (Iran)
Guerrilla (India)	Use unconventional violence	Militant (Jaish-e-Mohammad)
Business (Taiwan)	Express intent to cooperate economically	Taiwan
Honduras	Express intent to engage in diplomatic cooperation (such as policy support)	Tsai Ing-wen
Foreign Affairs (Honduras)	Express intent to engage in diplomatic cooperation (such as policy support)	Tsai Ing-wen
Tsai Ing-wen	Praise or endorse	Juan Orlando Hernández
Honduras	Host a visit	Tsai Ing-wen
Guatemala	Host a visit	Tsai Ing-wen
Nicaragua	Host a visit	Tsai Ing-wen
Tsai Ing-wen	Make a visit	Honduras
Tsai Ing-wen	Make a visit	Guatemala
Tsai Ing-wen	Make a visit	Nicaragua
Tsai Ing-wen	Make a visit	El Salvador
El Salvador	Host a visit	Tsai Ing-wen
Bangladesh	Arrest, detain, or charge with legal action	Ansar al-Islam
Somkid Jatusripitak	Express intent to meet or negotiate	European Union
European Union	Express intent to engage in diplomatic cooperation (such as policy support)	Thailand
Sergey Viktorovich Lavrov	Praise or endorse	Martin Stropnický
Criminal (Israel)	Physically assault	Israeli Defense Forces
Lawyer/Attorney (India)	Return, release person(s)	Citizen (India)
